Smog rating,Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),Model year
5,7.9,9.3,30,218.0,2026
4,9.2,10.9,26,256.0,2026
4,9.0,10.8,26,252.0,2026
6,10.7,12.1,23,282.0,2026
6,10.2,11.7,24,273.0,2026
4,11.4,13.8,20,325.0,2026
4,11.5,14.0,20,328.0,2026
4,11.7,14.2,20,334.0,2026
4,8.8,10.8,26,252.0,2026
5,10.0,11.3,25,263.0,2026
4,11.5,14.8,19,346.0,2026
4,11.3,13.5,21,318.0,2026
4,11.5,15.1,19,346.0,2026
4,8.8,10.7,26,249.0,2026
4,11.4,14.7,19,343.0,2026
4,11.4,14.7,19,347.0,2026
4,11.3,14.5,19,347.0,2026
7,6.7,8.1,35,191.0,2026
7,7.1,8.7,32,204.0,2026
6,6.5,7.9,36,185.0,2026
6,6.9,8.2,34,193.0,2026
7,7.1,8.6,33,202.0,2026
7,7.2,8.7,32,203.0,2026
6,7.4,8.9,32,210.0,2026
6,7.3,9.0,31,211.0,2026
7,7.2,8.7,32,203.0,2026
6,7.7,9.4,30,221.0,2026
6,7.6,9.3,30,218.0,2026
6,12.4,13.1,22,305.0,2026
6,6.9,8.2,34,190.0,2026
6,7.1,8.4,34,196.0,2026
6,7.0,8.3,34,193.0,2026
6,7.2,8.6,33,201.0,2026
6,7.7,9.0,31,210.0,2026
6,7.7,8.9,32,208.0,2026
6,9.2,10.8,26,255.0,2026
6,9.6,11.2,25,264.0,2026
4,11.2,13.4,21,314.0,2026
6,9.6,11.3,25,266.0,2026
4,11.5,14.3,20,335.0,2026
4,12.9,15.1,19,353.9,2026
6,8.2,10.1,28,236.0,2026
4,9.4,12.0,24,208.0,2026
4,8.8,12.0,24,280.0,2026
2,11.6,15.1,19,353.9,2026
6,6.0,7.4,38,173.0,2026
6,6.0,7.4,38,171.0,2026
6,6.4,7.7,37,179.0,2026
6,6.1,7.4,38,171.0,2026
6,6.1,7.3,39,170.0,2026
6,6.6,7.9,36,181.0,2026
7,7.3,8.7,32,201.0,2026
7,6.4,7.7,37,179.0,2026
7,6.6,7.9,36,184.0,2026
5,7.7,9.2,31,214.0,2026
