Model year,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2026,12.4,8.9,10.8,26,254,4,5
2026,15.2,9.7,12.7,22,299,3,4
2026,16.0,9.5,13.0,22,304,3,4
2026,13.8,8.7,11.2,25,271,4,4
2026,14.2,10.8,12.7,22,298,4,4
2026,12.5,10.7,11.7,24,272,4,4
2026,10.9,8.5,9.8,29,228,5,6
2026,11.2,8.3,9.7,29,230,5,6
2026,5.7,6.4,6.0,47,141,7,6
2026,11.2,8.3,9.9,29,230,5,6
2026,6.3,6.8,6.5,43,151,7,6
2026,8.7,8.4,8.6,33,199,5,6
2026,11.5,8.9,10.3,27,241,5,6
2026,8.7,8.4,8.6,33,200,5,6
2026,5.3,5.9,5.6,50,130,7,6
2026,5.3,5.9,5.6,50,130,7,6
2026,13.8,9.5,11.9,24,278,4,5
2026,11.3,8.3,9.9,29,234,5,5
2026,11.3,8.1,9.9,29,232,5,5
2026,8.2,7.5,7.9,36,185,6,5
2026,15.7,10.9,13.6,21,318,3,5
2026,9.6,7.5,8.7,32,204,5,6
2026,10.5,7.9,9.3,30,220,5,4
2026,10.2,8.2,9.3,30,218,5,6
2026,10.4,8.2,9.4,30,220,5,4
2026,6.1,6.4,6.2,46,145,7,6
2026,9.9,8.4,9.3,30,216,5,5
2026,10.3,8.5,9.5,30,222,5,5
2026,10.1,8.5,9.4,30,221,5,5
2026,10.3,8.5,9.5,30,222,5,5
2026,8.8,6.6,7.8,36,183,6,6
2026,9.1,6.8,8.1,35,190,6,6
2026,10.1,7.3,8.8,32,207,5,4
2026,8.9,6.8,7.9,36,186,6,6
2026,9.5,6.9,8.3,34,195,5,6
2026,9.3,7.0,8.3,34,194,5,6
2026,10.1,7.5,8.9,32,209,5,4
2026,12.5,8.8,10.8,26,252,4,4
2026,10.8,8.1,9.6,29,224,5,5
2026,11.7,8.4,10.2,28,236,5,2
2026,12.1,9.2,10.8,26,253,4,6
2026,11.7,8.7,10.4,27,243,5,6
2026,17.4,14.7,16.2,17,383,2,4
2026,10.5,7.9,9.3,30,218,5,5
2026,12.3,9.2,10.9,26,256,4,4
2026,12.1,9.0,10.8,26,252,4,4
2026,13.2,10.7,12.1,23,282,4,6
2026,12.9,10.2,11.7,24,273,4,6
2026,15.8,11.4,13.8,20,325,3,4
2026,16.1,11.5,14.0,20,328,3,4
2026,16.2,11.7,14.2,20,334,3,4
2026,12.4,8.8,10.8,26,252,4,4
2026,12.3,10.0,11.3,25,263,4,5
2026,17.4,11.5,14.8,19,346,3,4
2026,15.3,11.3,13.5,21,318,3,4
2026,18.0,11.5,15.1,19,346,3,4
2026,17.4,11.5,14.8,19,346,3,4
2026,12.2,8.8,10.7,26,249,4,4
2026,17.3,11.4,14.7,19,343,3,4
2026,17.3,11.4,14.7,19,347,3,4
2026,17.0,11.3,14.5,19,347,3,4
2026,9.3,6.7,8.1,35,191,6,7
2026,10.0,7.1,8.7,32,204,5,7
2026,9.0,6.5,7.9,36,185,6,6
2026,9.3,6.9,8.2,34,193,6,6
2026,9.9,7.1,8.6,33,202,5,7
2026,9.9,7.2,8.7,32,203,5,7
2026,10.2,7.4,8.9,32,210,5,6
2026,10.4,7.3,9.0,31,211,5,6
2026,10.0,7.2,8.7,32,203,5,7
2026,10.8,7.7,9.4,30,221,5,6
2026,10.6,7.6,9.3,30,218,5,6
2026,13.6,12.4,13.1,22,305,3,6
2026,9.2,6.9,8.2,34,190,6,6
2026,9.4,7.1,8.4,34,196,5,6
2026,9.3,7.0,8.3,34,193,6,6
2026,9.8,7.2,8.6,33,201,5,6
2026,10.1,7.7,9.0,31,210,5,6
2026,9.9,7.7,8.9,32,208,5,6
2026,12.2,9.2,10.8,26,255,4,6
2026,12.5,9.6,11.2,25,264,4,6
2026,12.5,9.6,11.2,25,264,4,6
2026,15.2,11.2,13.4,21,314,3,4
2026,12.7,9.6,11.3,25,266,4,6
2026,16.6,11.5,14.3,20,335,3,4
2026,17.7,12.9,15.6,18,364,2,4
2026,11.6,8.2,10.1,28,236,5,6
2026,14.1,9.4,12.0,24,208,5,4
2026,14.6,8.8,12.0,24,280,4,4
2026,19.8,11.6,16.1,18,375,2,2
2026,8.6,6.0,7.4,38,173,6,6
2026,8.5,6.0,7.4,38,171,6,6
2026,8.8,6.4,7.7,37,179,6,6
2026,8.5,6.1,7.4,38,171,6,6
2026,8.4,6.1,7.3,39,170,6,6
2026,8.9,6.6,7.9,36,181,6,6
2026,9.8,7.3,8.7,32,201,5,7
